;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;01.639.917/0001-01;01.639.917/0001-01 - CASA LIMA LAGOENSE LTDA;7;5800.41;828.63
1;04.463.726/0001-11;04.463.726/0001-11 - VAZLIMP IND E COM DE PRODUTOS DE LIMPEZA LTDA;4;399.65;99.9125
2;05.906.836/0001-73;05.906.836/0001-73 - VANDERLEI ALVES DE ARAUJO CPF 569.891.216-53;17;14788.87;869.9335294117648
3;08.422.075/0001-72;08.422.075/0001-72 - GONCALVES E TEIXEIRA LTDA;2;150.8;75.4
4;11.592.811/0001-45;11.592.811/0001-45 - 11.592.811 CLEBER ROBERTO FELICIO;2;1080.0;540.0
5;12.461.122/0001-64;12.461.122/0001-64 - ARCEPATOS DISTRIBUIDORA LTDA;4;2153.44;538.36
6;14.595.725/0001-84;14.595.725/0001-84 - NOVASUL COMERCIO DE PRODUTOS HOSPITALARES LTDA;4;3496.8;874.2
7;14.905.502/0001-76;14.905.502/0001-76 - EXCLUSIVA DISTRIBUIDORA DE MEDICAMENTOS LTDA;11;6301.91;572.9009090909091
8;18.299.027/0001-92;18.299.027/0001-92 - REVESTE MAIS TINTAS E REVESTIMENTOS ACRILICOS LTDA;1;3477.85;3477.85
9;19.977.585/0001-22;19.977.585/0001-22 - HORIZONTE COMERCIO E DISTRIBUIDORA LTDA;1;315.0;315.0
10;21.227.039/0001-16;21.227.039/0001-16 - LIFE CENTER COMERCIO E DISTRIBUIDORA DE MEDICAMENTOS LTDA;5;13949.0;2789.8
11;23.407.794/0001-08;23.407.794/0001-08 - ISRAEL E ISRAEL LTDA;3;1892.5;630.8333333333334
12;26.419.311/0001-83;26.419.311/0001-83 - LUMANN DISTRIBUIDORA DE MEDICAMENTOS LTDA;5;6864.94;1372.9879999999998
13;26.760.171/0001-02;26.760.171/0001-02 - DRM - DISTRIBUIDORA REGIONAL DE MEDICAMENTOS LTDA;10;9704.92;970.492
14;27.022.070/0001-05;27.022.070/0001-05 - TEREZA MARSCHAL MARTINS EIRELI;1;0.0;0.0
15;28.694.741/0001-39;28.694.741/0001-39 - GRANDES MARCAS DISTRIBUICAO EIRELI;1;99.5;99.5
16;28.915.430/0001-52;28.915.430/0001-52 - HIGOR SILVA CANEDO;3;2275.38;758.46
17;29.228.930/0001-89;29.228.930/0001-89 - LIGIA MARIA CARNEIRO;8;12810.82;1601.3525
18;31.486.195/0001-55;31.486.195/0001-55 - ALIANCA COMERCIO E DISTRIBUICAO LTDA;1;42.26;42.26
19;32.364.822/0001-48;32.364.822/0001-48 - TERRA SUL COMERCIO DE MEDICAMENTOS LTDA;12;9455.09;787.9241666666667
20;35.809.489/0001-21;35.809.489/0001-21 - AUGUSTO PNEUS EIRELI;1;0.0;0.0
21;38.343.404/0001-50;38.343.404/0001-50 - FUTURA DISTRIBUIDORA E SERVICOS LTDA;4;888.2;222.05
22;39.518.890/0001-63;39.518.890/0001-63 - ZOOM COMERCIAL EIRELI;1;11.3;11.3
