;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;00.207.500/0001-07;00.207.500/0001-07 - MULTIMEDIC COMERCIAL LTDA;27;657631.13;24356.708518518517
1;02.050.048/0001-30;02.050.048/0001-30 - SEBBA MOTORS LTDA;1;315000.0;315000.0
2;05.523.731/0001-35;05.523.731/0001-35 - V.L. FUZETI - COMERCIAL;1;11350.0;11350.0
3;08.422.075/0001-72;08.422.075/0001-72 - GONCALVES E TEIXEIRA LTDA;1;658.99;658.99
4;09.415.124/0001-02;09.415.124/0001-02 - SOLID CONTRUTORA E SERVICOS LTDA;2;3040000.0;1520000.0
5;10.728.371/0001-48;10.728.371/0001-48 - TK PRODUTOS E EQUIPAMENTOS MEDICOS LTDA;1;989.99;989.99
6;15.398.703/0001-97;15.398.703/0001-97 - LAB COMPRAS LTDA;1;16271.9;16271.9
7;15.984.883/0001-99;15.984.883/0001-99 - ELETRICA RADIANTE MAT ELETRICOS LTDA;3;302743.65;100914.55
8;17.282.963/0001-28;17.282.963/0001-28 - REAUTO REPRESENTACAO DE AUTOMOVEIS LTDA;2;88345.0;44172.5
9;18.543.481/0001-47;18.543.481/0001-47 - INPRINT TECNOLOGIA E LOCACAO DE EQUIPAMENTOS DE INFORMATICA;1;128235.03;128235.03
10;21.060.687/0001-20;21.060.687/0001-20 - BLZ ENGENHARIA E CONSTRUCAO S/A;6;2208860.5;368143.4166666667
11;24.096.709/0001-09;24.096.709/0001-09 - CR MONTEIRO PINTO APARELHOS AUDITIVOS LTDA;1;23000.0;23000.0
12;24.380.578/0020-41;24.380.578/0020-41 - WHITE MARTINS GASES INDUSTRIAIS DO NORDESTE LTDA;2;111846.0;55923.0
13;24.501.724/0001-87;24.501.724/0001-87 - MAC COPIADORA E COMERCIO DE EQUIPAMENTOS ELETRONICOS LTDA;1;1550.0;1550.0
14;27.469.763/0001-32;27.469.763/0001-32 - PLANARES CONSTRUTORA LTDA.;2;2000000.0;1000000.0
15;27.845.560/0001-01;27.845.560/0001-01 - JOAO BRAULIO COMERCIO DE EQUIPAMENTOS ELETRONICOS LTDA;1;11972.0;11972.0
16;29.013.780/0001-96;29.013.780/0001-96 - VISA INDUSTRIA ATACADISTA LTDA;6;208836.65000000002;34806.10833333334
17;34.444.108/0001-95;34.444.108/0001-95 - PLG DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA;1;41000.0;41000.0
18;41.804.972/0001-16;41.804.972/0001-16 - ESTRELA INFRAESTRUTURA LTDA;3;414717.33;138239.11000000002
19;47.050.417/0001-22;47.050.417/0001-22 - PRESTADORA DE SERVICOS DO PORTO LTDA;3;1172253.11;390751.0366666667
20;51.490.594/0001-05;51.490.594/0001-05 - EFATA CONSTRUCOES LTDA;1;433033.33;433033.33
21;53.007.444/0001-15;53.007.444/0001-15 - CONSORCIO PFM - REURB;1;565190.27;565190.27
