;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;00.207.500/0001-07;00.207.500/0001-07 - MULTIMEDIC COMERCIAL LTDA;9;409131.91;45459.10111111111
1;00.498.393/0001-05;00.498.393/0001-05 - N N L ACESSORIOS DE MODA LTDA;1;912.0;912.0
2;00.604.122/0001-97;00.604.122/0001-97 - TRIVALE INSTITUICAO DE PAGAMENTO LTDA;81;2386596.34;29464.15234567901
3;00.874.929/0001-40;00.874.929/0001-40 - MED CENTER COMERCIAL LTDA;1;570.39;570.39
4;01.590.728/0009-30;01.590.728/0009-30 - MICROTECNICA INFORMATICA LTDA;9;415770.0;46196.666666666664
5;02.537.890/0001-09;02.537.890/0001-09 - COFARMINAS COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;111;1783627.35;16068.714864864865
6;02.814.497/0007-00;02.814.497/0007-00 - CIMED INDUSTRIA S.A.;1;0.0;0.0
7;05.341.025/0001-72;05.341.025/0001-72 - TR MOLAS E COMPONENTES LTDA;10;17675.0;1767.5
8;05.508.553/0001-73;05.508.553/0001-73 - IKI & NANA UNIFORMES LTDA;2;9477.36;4738.68
9;08.648.188/0001-90;08.648.188/0001-90 - COMERCIAL SOARES & MOTA LTDA;1;58800.0;58800.0
10;08.774.906/0001-75;08.774.906/0001-75 - HOSPDROGAS COMERCIAL LTDA;1;159.84;159.84
11;09.290.603/0001-40;09.290.603/0001-40 - INTERMAPAS GEOTECNOLOGIAS LTDA;1;27487.23;27487.23
12;12.047.164/0001-53;12.047.164/0001-53 - GLOBAL HOSPITALAR IMPORTACAO E COMERCIO LTDA;1;1478.64;1478.64
13;12.889.035/0002-93;12.889.035/0002-93 - INOVAMED HOSPITALAR LTDA;1;37.62;37.62
14;17.700.763/0005-71;17.700.763/0005-71 - MEDFUTURA DISTRIBUIDORA DE MEDICAMENTOS E PRODUTOS DE SAUDE;1;72.8;72.8
15;18.269.125/0001-87;18.269.125/0001-87 - BIOHOSP PRODUTOS HOSPITALARES SA;1;449.0;449.0
16;19.280.448/0001-34;19.280.448/0001-34 - LUZ FORTE ILUMINACAO E SERVICOS LTDA;2;164241.0;82120.5
17;21.681.325/0001-57;21.681.325/0001-57 - MULTIFARMA COMERCIO E REPRESENTACOES LTDA.;1;8536.22;8536.22
18;24.687.735/0001-01;24.687.735/0001-01 - ZENITE COMERCIAL LTDA;3;16651.2;5550.400000000001
19;28.104.324/0001-99;28.104.324/0001-99 - GOVERNA LOCACAO DE EQUIPAMENTOS LTDA;1;4800.0;4800.0
20;30.584.194/0004-23;30.584.194/0004-23 - CROMO COMERCIO E DISTRIBUICAO DE MATERIAIS ODONTO-MEDICO HOS;2;82439.3;41219.65
21;33.441.004/0001-64;33.441.004/0001-64 - ULTRA VEICULOS ESPECIAIS LTDA;1;26400.0;26400.0
22;34.729.047/0001-02;34.729.047/0001-02 - NSA DISTRIBUIDORA DE MEDICAMENTOS EIRELI;1;1547.0;1547.0
23;35.457.127/0001-19;35.457.127/0001-19 - MABELE VEICULOS ESPECIAIS LTDA;2;320072.52;160036.26
24;35.820.448/0039-09;35.820.448/0039-09 - WHITE MARTINS GASES INDUSTRIAIS LTDA;2;214391.59999999998;107195.79999999999
25;37.115.386/0001-97;37.115.386/0001-97 - INOVATTO VEICULOS LTDA;1;55100.0;55100.0
26;41.532.626/0001-26;41.532.626/0001-26 - MACHADO & ARAUJO EMPREENDIMENTOS IMOBILIARIOS LTDA;19;70245.78;3697.1463157894736
27;49.324.221/0016-90;49.324.221/0016-90 - FRESENIUS KABI BRASIL LTDA.;1;733.8;733.8
28;67.729.178/0002-20;67.729.178/0002-20 - COMERCIAL CIRURGICA RIOCLARENSE LTDA;1;9758.42;9758.42
29;73.856.593/0010-57;73.856.593/0010-57 - PRATI,DONADUZZI & CIA LTDA;1;5074.48;5074.48
30;79.788.766/0027-71;79.788.766/0027-71 - BRINK MOBIL EQUIPAMENTOS EDUCACIONAIS LTDA;1;8384.74;8384.74
