;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;00.207.500/0001-07;00.207.500/0001-07 - MULTIMEDIC COMERCIAL LTDA;38;1209334.98;31824.604736842106
1;00.498.393/0001-05;00.498.393/0001-05 - N N L ACESSORIOS DE MODA LTDA;1;1317.0;1317.0
2;02.050.048/0001-30;02.050.048/0001-30 - SEBBA MOTORS LTDA;1;315000.0;315000.0
3;02.537.890/0001-09;02.537.890/0001-09 - COFARMINAS COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;116;587109.57;5061.289396551723
4;03.945.035/0001-91;03.945.035/0001-91 - ACACIA COMERCIO DE MEDICAMENTOS LTDA;4;5443.64;1360.91
5;05.194.502/0001-14;05.194.502/0001-14 - ALFALAGOS LTDA.;1;8286.4;8286.4
6;05.508.553/0001-73;05.508.553/0001-73 - IKI & NANA UNIFORMES LTDA;2;2688.0;1344.0
7;05.523.731/0001-35;05.523.731/0001-35 - V.L. FUZETI - COMERCIAL;1;11350.0;11350.0
8;07.681.483/0001-86;07.681.483/0001-86 - CSC CONSTRUTORA SIQUEIRA CARDOSO LTDA;1;189566.3;189566.3
9;08.245.855/0001-94;08.245.855/0001-94 - MHEDICA SERVICE COMERCIO E MANUTENCAO LTDA;2;474853.9;237426.95
10;08.422.075/0001-72;08.422.075/0001-72 - GONCALVES E TEIXEIRA LTDA;1;658.99;658.99
11;08.648.188/0001-90;08.648.188/0001-90 - COMERCIAL SOARES & MOTA LTDA;6;855493.6799999999;142582.28
12;09.415.124/0001-02;09.415.124/0001-02 - SOLID CONTRUTORA E SERVICOS LTDA;15;4560000.0;304000.0
13;10.728.371/0001-48;10.728.371/0001-48 - TK PRODUTOS E EQUIPAMENTOS MEDICOS LTDA;1;989.99;989.99
14;11.432.336/0001-40;11.432.336/0001-40 - PLANET BRINQUEDOS E EQUIPAMENTOS LTDA;2;178000.0;89000.0
15;11.448.734/0001-54;11.448.734/0001-54 - TITONELI VEICULOS LTDA;1;95870.0;95870.0
16;12.047.164/0001-53;12.047.164/0001-53 - GLOBAL HOSPITALAR IMPORTACAO E COMERCIO LTDA;1;3008.76;3008.76
17;12.200.949/0001-14;12.200.949/0001-14 - CONSTRUTORA CRETA LTDA;5;419499.0;83899.8
18;12.889.035/0002-93;12.889.035/0002-93 - INOVAMED HOSPITALAR LTDA;1;31.35;31.35
19;12.927.876/0001-67;12.927.876/0001-67 - SOMA/MG PRODUTOS HOSPITALARES LTDA;2;14983.81;7491.905
20;15.398.703/0001-97;15.398.703/0001-97 - LAB COMPRAS LTDA;1;16271.9;16271.9
