;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;00.604.122/0001-97;00.604.122/0001-97 - TRIVALE INSTITUICAO DE PAGAMENTO LTDA;44;1144290.75;26006.607954545456
1;01.639.917/0001-01;01.639.917/0001-01 - CASA LIMA LAGOENSE LTDA;30;188119.78;6270.659333333333
2;02.559.007/0001-73;02.559.007/0001-73 - MARIA DE FÁTIMA ALVES EIRELI EPP;8;27251.1;3406.3875
3;02.732.609/0001-80;02.732.609/0001-80 - VALDENE DO AMARAL BRAGA CPF 03993048601 EIRELI;4;11311.5;2827.875
4;03.392.348/0008-36;03.392.348/0008-36 - SERVIOESTE SOLUCOES AMBIENTAIS LTDA;1;14999.0;14999.0
5;03.945.035/0001-91;03.945.035/0001-91 - ACACIA COMERCIO DE MEDICAMENTOS LTDA;3;700.8;233.6
6;04.027.894/0007-50;04.027.894/0007-50 - DUPATRI HOSPITALAR COMERCIO, IMPORTACAO E EXPORTACAO LTDA.;3;2808.96;936.32
7;04.353.937/0001-00;04.353.937/0001-00 - CASA DAS PECAS SERVICOS LTDA;8;45320.0;5665.0
8;04.463.726/0001-11;04.463.726/0001-11 - VAZLIMP IND E COM DE PRODUTOS DE LIMPEZA LTDA;40;6547.06;163.6765
9;04.938.987/0001-40;04.938.987/0001-40 - MARIA EDUARDA DE OLIVEIRA MARTINS LTDA;16;33249.0;2078.0625
10;05.340.639/0001-30;05.340.639/0001-30 - PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;44;550518.5;12511.78409090909
11;05.906.836/0001-73;05.906.836/0001-73 - VANDERLEI ALVES DE ARAUJO CPF 569.891.216-53;121;150917.66999999998;1247.25347107438
12;06.088.333/0001-09;06.088.333/0001-09 - LAZARO BEZERRA SOARES;14;1039.74;74.26714285714286
13;07.583.394/0001-05;07.583.394/0001-05 - FRUTARIA NIPOLAGO LTDA;6;25779.309999999998;4296.551666666666
14;08.297.473/0001-04;08.297.473/0001-04 - CIRURGICA PATROCINIO DISTRIBUIDORA DE PRODUTOS HOSPITALARES;2;1018.8;509.4
15;08.420.626/0001-69;08.420.626/0001-69 - UBERCOPIAS E IMPRESSOS LTDA;12;4116.22;343.0183333333334
16;08.422.075/0001-72;08.422.075/0001-72 - GONCALVES E TEIXEIRA LTDA;44;8621.4;195.9409090909091
17;08.648.188/0001-90;08.648.188/0001-90 - COMERCIAL SOARES & MOTA LTDA;1;832.0;832.0
18;09.415.124/0001-02;09.415.124/0001-02 - SOLID CONTRUTORA E SERVICOS LTDA;14;1656044.0;118288.85714285714
19;10.279.430/0001-48;10.279.430/0001-48 - ROSILENE VIEIRA LOPES;1;18218.0;18218.0
20;11.258.338/0001-64;11.258.338/0001-64 - MERCOSUL AGRONEGOCIOS EIRELI;4;17574.0;4393.5
21;11.592.811/0001-45;11.592.811/0001-45 - 11.592.811 CLEBER ROBERTO FELICIO;36;6642.0;184.5
22;12.461.122/0001-64;12.461.122/0001-64 - ARCEPATOS DISTRIBUIDORA LTDA;48;25856.6;538.6791666666667
23;14.595.725/0001-84;14.595.725/0001-84 - NOVASUL COMERCIO DE PRODUTOS HOSPITALARES LTDA;14;21725.16;1551.797142857143
24;14.905.502/0001-76;14.905.502/0001-76 - EXCLUSIVA DISTRIBUIDORA DE MEDICAMENTOS LTDA;34;26540.670000000002;780.6079411764706
25;15.398.703/0001-97;15.398.703/0001-97 - LAB COMPRAS LTDA;1;25749.96;25749.96
26;18.269.125/0001-87;18.269.125/0001-87 - BIOHOSP PRODUTOS HOSPITALARES SA;2;2678.4;1339.2
27;18.299.027/0001-92;18.299.027/0001-92 - REVESTE MAIS TINTAS E REVESTIMENTOS ACRILICOS LTDA;32;53797.25;1681.1640625
28;19.867.048/0001-20;19.867.048/0001-20 - KHRONUS SAUDE E EDUCACAO LTDA;2;47700.0;23850.0
29;19.977.585/0001-22;19.977.585/0001-22 - HORIZONTE COMERCIO E DISTRIBUIDORA LTDA;14;30995.0;2213.9285714285716
30;21.189.554/0001-59;21.189.554/0001-59 - TS FARMA DISTRIBUIDORA LTDA;6;27632.35;4605.391666666666
31;21.227.039/0001-16;21.227.039/0001-16 - LIFE CENTER COMERCIO E DISTRIBUIDORA DE MEDICAMENTOS LTDA;11;21296.7;1936.0636363636365
32;23.407.794/0001-08;23.407.794/0001-08 - ISRAEL E ISRAEL LTDA;39;35541.95;911.3320512820512
33;23.950.207/0001-22;23.950.207/0001-22 - PROLAGOS PRODUTOS PARA SAUDE EIRELI;1;112.0;112.0
34;25.555.046/0001-06;25.555.046/0001-06 - DISTRIBUIDORA DOM CABRAL LTDA;1;66.72;66.72
35;26.419.311/0001-83;26.419.311/0001-83 - LUMANN DISTRIBUIDORA DE MEDICAMENTOS LTDA;18;34407.22;1911.5122222222224
36;26.760.171/0001-02;26.760.171/0001-02 - DRM - DISTRIBUIDORA REGIONAL DE MEDICAMENTOS LTDA;61;113168.77;1855.2257377049182
37;27.022.070/0001-05;27.022.070/0001-05 - TEREZA MARSCHAL MARTINS EIRELI;26;7534.66;289.7946153846154
38;28.093.678/0001-85;28.093.678/0001-85 - F&F DISTRIBUIDORA DE MEDICAMENTOS LTDA;3;3327.0;1109.0
39;28.694.741/0001-39;28.694.741/0001-39 - GRANDES MARCAS DISTRIBUICAO EIRELI;4;3353.15;838.2875
40;28.915.430/0001-52;28.915.430/0001-52 - HIGOR SILVA CANEDO;12;6206.56;517.2133333333334
41;29.228.930/0001-89;29.228.930/0001-89 - LIGIA MARIA CARNEIRO;28;39100.02;1396.4292857142857
42;30.511.964/0001-65;30.511.964/0001-65 - MEDICAL COMERCIO, IMPORTACAO E EXPORTACAO LTDA;1;738.9;738.9
43;30.949.099/0001-33;30.949.099/0001-33 - VIA FHARMA DO BRASIL EIRELI;1;69.75;69.75
44;31.486.195/0001-55;31.486.195/0001-55 - ALIANCA COMERCIO E DISTRIBUICAO LTDA;23;4263.19;185.35608695652172
45;32.364.822/0001-48;32.364.822/0001-48 - TERRA SUL COMERCIO DE MEDICAMENTOS LTDA;46;64288.68;1397.58
46;34.479.102/0001-53;34.479.102/0001-53 - NK MATERIAIS HOSPITALARES LTDA;3;130083.0;43361.0
47;34.637.297/0001-12;34.637.297/0001-12 - LIFE CARE DIAGNOSTICOS EIRELI;1;9061.0;9061.0
