;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;00.207.500/0001-07;00.207.500/0001-07 - MULTIMEDIC COMERCIAL LTDA;306;5782159.39;18895.945718954248
1;00.498.393/0001-05;00.498.393/0001-05 - N N L ACESSORIOS DE MODA LTDA;6;14104.0;2350.6666666666665
2;00.503.644/0001-00;00.503.644/0001-00 - BRASFERMA LTDA;1;5287.0;5287.0
3;00.604.122/0001-97;00.604.122/0001-97 - TRIVALE INSTITUICAO DE PAGAMENTO LTDA;226;7709820.29;34114.24907079646
4;00.660.664/0001-87;00.660.664/0001-87 - H M LINCK;1;13800.0;13800.0
5;00.676.629/0001-56;00.676.629/0001-56 - WALDEMIRO STEFFEN;1;11550.0;11550.0
6;00.982.872/0006-07;00.982.872/0006-07 - AUTUS COMERCIAL DISTRIBUIDORA LTDA;2;122700.0;61350.0
7;01.105.481/0001-62;01.105.481/0001-62 - PEG INFORMATICA LTDA;8;43941.75;5492.71875
8;01.405.834/0001-40;01.405.834/0001-40 - MTB TECNOLOGIA LTDA;1;11598.99;11598.99
9;01.590.728/0009-30;01.590.728/0009-30 - MICROTECNICA INFORMATICA LTDA;1;252884.5;252884.5
10;01.639.917/0001-01;01.639.917/0001-01 - CASA LIMA LAGOENSE LTDA;106;235738.09;2223.944245283019
11;01.752.683/0001-04;01.752.683/0001-04 - CALDAS COMERCIO DE PRODUTOS QUIMICOS LTDA;1;930.0;930.0
12;01.763.210/0001-02;01.763.210/0001-02 - REJANE COMERCIO DE PRODUTOS PEDAGOGICOS LTDA;6;4807.16;801.1933333333333
13;01.864.223/0001-60;01.864.223/0001-60 - CONAST CONSULTORIA E ASSESSORIA DE SEGURANCA DO TRABALHO LTD;7;126255.0;18036.428571428572
14;01.980.067/0001-00;01.980.067/0001-00 - ALUMIBOX VIDROS E ESQUADRIAS DE PATOS LTDA;48;138333.22999999998;2881.9422916666663
15;02.640.254/0001-08;02.640.254/0001-08 - JOSE SOARES RAIMUNDO - CPF. 752.923.786-15;1;0.0;0.0
16;02.659.246/0001-03;02.659.246/0001-03 - VMI TECNOLOGIAS LTDA.;1;525746.66;525746.66
17;02.732.609/0001-80;02.732.609/0001-80 - VALDENE DO AMARAL BRAGA CPF 03993048601 EIRELI;147;252294.4;1716.2884353741497
18;03.050.725/0001-82;03.050.725/0001-82 - DENIPOTTI E DENIPOTTI COMÉRCIO E RECAUCHUTAGEM DE PNEUS LTDA;4;28224.0;7056.0
19;03.127.257/0001-05;03.127.257/0001-05 - ONNET TELECOMUNICACOES LTDA;44;208536.72;4739.470909090909
20;03.138.598/0001-78;03.138.598/0001-78 - DELBA VICENTINI CREMASCO;1;30090.0;30090.0
21;03.213.418/0001-75;03.213.418/0001-75 - BUNKER COMERCIAL LTDA EPP;1;18600.0;18600.0
